Sleep Score 1 Day,
Date,2025-12-06
Sleep Duration,7h 4m
Sleep Score,48
Quality,Poor

Sleep Score Factors,
Sleep Duration,7h 4m
Stress Avg,39
Deep Sleep Duration,52m
Light Sleep Duration,5h 51m
REM Duration,21m
Awake Time,43m

Sleep Timeline Metrics,
Breathing Variations,Minimal
Restless Moments,37
Avg Overnight Heart Rate,57 bpm
Resting Heart Rate,50 bpm
Body Battery Change,+30
Avg SpO₂,96%
Lowest SpO2,90%
Avg Respiration,15 brpm
Lowest Respiration,9 brpm
Avg Overnight HRV,47 ms
7d Avg HRV,Unbalanced
