laps,time,distance_km,avg_pace_min_km,avg_gap_min_km,avg_hr_bpm,max_hr_bpm,total_ascent_m,avg_power_w,max_power_w,avg_run_cadence_spm,avg_ground_contact_time_ms,avg_stride_length_m,avg_vertical_oscillation_cm,avg_vertical_ratio_percent
1,05:46:00,1,05:46:00,05:39:00,127,140,16,371,502,160,275,1.04,8.8,8.5
2,06:09:00,1,06:09:00,05:58:00,132,144,15,354,411,162,286,1,8.9,8.9
3,06:00:00,1,06:00:00,06:01:00,129,146,4,351,425,162,284,1.03,9,8.7
4,05:57:00,1,05:57:00,05:59:00,134,140,5,340,406,164,277,1.01,8.8,8.6
5,05:57:00,1,05:57:00,05:50:00,133,142,13,355,436,163,281,1.03,8.9,8.7
6,05:37:00,1,05:37:00,05:45:00,129,137,2,379,482,164,276,1.08,9.1,8.4
7,05:52:00,1,05:52:00,06:03:00,137,148,3,337,412,164,280,1.05,9,8.6
8,05:57:00,1,05:57:00,06:02:00,130,145,14,332,485,159,284,1.03,8.9,8.8
9,05:33:00,1,05:34:00,05:31:00,133,140,5,368,446,164,275,1.1,9.2,8.4
10,05:56:00,1,05:56:00,06:03:00,141,146,1,326,420,165,279,1.01,8.8,8.7
11,06:08:00,1,06:09:00,06:03:00,140,145,4,330,408,164,279,0.99,8.7,8.7
12,05:55:00,1,05:56:00,05:58:00,132,140,2,328,389,167,274,1.01,8.6,8.6
13,00:17:00,0.06,05:25:00,05:51:00,126,128,0,336,354,171,270,0.99,8.4,8.5
